Startup,Industry
Ocrolus,Document Automation for Lending
Healchie,Digital Health Infrastructure
Native Voice,Voice Assistant Platform
Shabodi,Next-Gen Application Platform for 5G and Beyond
Scala,High Performance Computing in the Cloud
Intus Care,Healthcare Data Optimization
Rev,AI-Based Sales Development
Agnostiq,Quantum & High Performance Computing Tools
Wethos,Freelance Business Management
Fillogic,Logistics-as-a-Service for Retail
Margii,Menu Publishing for Food & Beverage
MessageYes,AI-Based Customer Messaging
PrescientAI,Automated Profitability for DTC Brands
Helix,Equipment Condition Tracking
Link,Digital Payments for Property Insurance Claims
Nicklpass,Media Access Platform for Enterprises
Supply Clinic,Dental and Healthcare Supply Marketplace
FanRally,Subscription & Membership for Sports & Entertainment
Rubik,AI Marketplace for Single Family Rentals
Kartera,Card Fee Savings Platform
Kredit,Debt Resolution Platform
401GO,Retirement Tools for SMBs
Bixby,Urban Apartment Hospitality Platform
Turbodega,Digitization for LatAm Grocery Stores
Knockri,AI-Powered Hiring Assessments
Debbie,Rewards Platform for Debt Payoff
Hark,Video-Based Customer Experience Channel
Suppli,Accounts Receivable for Construction Suppliers
REKalibrate,Commercial Real Estate Analytics
API Fortress,API Testing and Monitoring
Propensity,Account-Based Marketing for B2B
VIVE,Teletherapy Platform
Polymer,Data Protection for Cloud Apps
Ads On Top,DOOH Ad Server
Carl,Financial Innovation for Investors
DeepSurface,Risk-Based Vulnerability Management
Aren,Civil Infrastructure Management
Beam,Telemedicine and Patient Operations
Cleared,Telehealth for Allergy and Asthma
TruVue,Healthcare Supply Chain Analytics
Tobly,B2B Equipment Rental Marketplace
Agent,Professional Modeling Platform
Kiwi for Gmail,Gmail Desktop Application
Paintbrush,Early-Stage Funding Platform
Simply Bail,Bail Services Platform
AKTUS AI,AI Copilot Studio
Plannery,Financial Wellness for Healthcare Employees
Near Space Labs,Zero-Emission Stratospheric Imagery
