Startup,LinkedIn,Website,Raised to Date,Date of latest funding
100ms,https://www.linkedin.com/in/guptakshi,https://www.100ms.live/,Seed,"Mar 10, 2022"
ACE2THREE,https://in.linkedin.com/in/deepakatace2three,https://www.a23.com/,https://www.crunchbase.com/acquisition/head-infotech-india-pvt-ltd-acquires-random--05124197,
Aampe,https://sg.linkedin.com/in/paulmeinshausen,https://www.aampe.com/,Seed,"Oct 5, 2023"
AntWalk,https://in.linkedin.com/in/sudhanshu-shekhar-antwalk,https://www.antwalk.com/,Seed,"Jul 5, 2022"
Apps for Bharat,https://in.linkedin.com/in/prashantsachan,https://m.economictimes.com/tech/technology/spiritual-apps-get-blessed-with-more-users-investors-post-covid/articleshow/111542407.cms,Seed,"Sep 10, 2024"
Atomic work,https://www.linkedin.com/in/amnigos,https://www.atomicwork.com/,Seed,Seed
Bijnis,https://in.linkedin.com/in/chaitanya-rathi,https://www.bijnis.com/?srsltid=AfmBOooMgofeTz9xWMSZZaNyLwOpueFZKlD6T2n6_kAao8izl-Vy0kXr,Seed,"Sep 28, 2021"
CENTRE FOR SIGHT,https://in.linkedin.com/in/dr-mahipal-sachdev-1946051a#:~:text=Dr%20Mahipal%20Sachdev%20%2D%20Centre%20for%20Sight%20%7C%20LinkedIn,https://www.centreforsight.net/,https://www.crunchbase.com/organization/centre-for-sight,
Captain Fresh,https://in.linkedin.com/in/uthamks#:~:text=Utham%20Gowda%20%2D%20Captain%20Fresh%20%7C%20LinkedIn,https://www.captainfresh.in/,https://www.crunchbase.com/organization/captain-fresh,
Cirkla,https://in.linkedin.com/in/vaibhavgoel85,https://gocirkla.com/,Pre-seed,Pre-Seed
Cloudnine,https://www.linkedin.com/in/michaelbrownai,https://www.cloudninecare.com/,Series a,"Jan 1, 2024"
Country Delight,https://in.linkedin.com/in/chakradhar-gade-1025a12,https://countrydelight.in/,https://countrydelight.in/,
CreditVidya,https://in.linkedin.com/in/agarwal86,https://www.creditvidya.com/cv-score,Series a,"Jan 28, 2019"
DEZERV,https://in.linkedin.com/in/sandeepjethwani,https://www.dezerv.in/ipa/,https://www.crunchbase.com/organization/dezerv,
DaMENSCH,https://in.linkedin.com/in/anurag-saboo-73a9b418,https://www.damensch.com/,"https://www.crunchbase.com/organization/damensch#:~:text=DaMENSCH%20innovates%20the%20design%20of,redefine%20men's%20fashion%20with%20innovation.",
DailyNinja,https://in.linkedin.com/in/sagaryarnalkar,https://co.linkedin.com/company/dailyninja,Seed,"Apr 24, 2020"
Dailyhunt,https://in.linkedin.com/in/virendra-gupta-190a44,https://www.dailyhunt.in/,Series d,"Jun 28, 2023"
Dashtoon,https://in.linkedin.com/in/lalithgudipati,https://dashtoon.com/create,Seed,Seed
DealShare,https://in.linkedin.com/in/vineetrao,https://store.hbr.org/product/dealshare-social-e-commerce-for-the-indian-mass-market/322099?srsltid=AfmBOorOubC-hExu__UnXjEboDW-1b_JGgtPlw1YgW-Cq-I0QPn11sXa,Series a,"Jan 27, 2022"
Dukaan,https://in.linkedin.com/in/suumitshah,https://mydukaan.io/,Seed,"Sep 5, 2021"
EMTECH,https://www.linkedin.com/in/carmellecadet,https://emtech.com/beyond-suite/beyond-sandbox-central-banks,Seed,"Sep 10, 2024"
Emversity,https://in.linkedin.com/in/viveksinha85,https://emversity.com/about-us,Seed,Seed
FarMart,https://in.linkedin.com/in/alekh-sanghera-58a36778,https://www.farmart.co/,Seed,"May 29, 2024"
Five Star,https://www.linkedin.com/in/hale-brown-37013a19b,https://fivestargroup.in/,Series a,"Sep 1, 2023"
Foxtale,https://in.linkedin.com/in/romita-mazumdar-063777a5,https://foxtale.in/collections/shop?srsltid=AfmBOoqIpOEkdeuOM_nP0j8Ub7WWZ-OwbnA7cCrFrl7_s62CZlbV-1kD,Seed,"Jun 12, 2024"
Foxy,https://in.linkedin.com/in/nikhil-gilani-7ba86010,https://www.foxy.in/?srsltid=AfmBOootWwIt5Qf_GUn0AFyU2p6mG5U-gkPG4iYm5TRUbAKQgDJRnv7u,Seed,"May 23, 2024"
